x y pen
0 0 0
5 58 1
5 59 1
5 65 1
6 66 1
7 67 1
8 67 1
8 67 1
8 68 1
8 68 1
9 68 1
9 68 1
10 69 1
10 69 1
11 69 1
11 69 1
12 70 1
12 70 1
12 71 1
12 75 1
13 75 1
13 75 1
13 76 1
13 76 1
14 76 1
14 76 1
15 77 1
15 77 1
16 77 1
18 77 1
19 76 1
19 76 1
20 77 1
20 77 1
21 77 1
23 77 1
23 77 0
23 77 0
20 75 1
20 75 1
20 74 1
20 74 1
19 74 1
19 74 1
18 73 1
18 73 1
17 73 1
15 73 1
14 72 1
14 72 1
14 71 1
14 70 1
13 69 1
13 69 1
13 68 1
13 68 1
12 67 1
12 67 1
11 67 1
11 67 1
10 66 1
10 66 1
9 66 1
9 66 1
8 65 1
7 64 1
7 63 1
7 59 1
8 58 1
8 58 1
9 58 1
10 58 1
10 59 1
10 59 1
11 59 1
15 59 1
16 60 1
16 60 1
17 60 1
18 60 1
19 59 1
19 59 1
20 59 1
24 59 1
24 58 1
24 58 1
25 58 1
26 58 1
27 57 1
27 57 1
28 57 1
28 57 1
28 57 0
28 57 0
26 56 1
26 56 1
25 56 1
24 56 1
23 57 1
23 57 1
22 57 1
19 57 1
18 58 1
18 58 1
17 58 1
16 58 1
15 57 1
15 57 1
14 57 1
11 57 1
10 56 1
10 56 1
9 56 1
9 56 1
9 55 1
9 53 1
10 53 1
10 53 1
10 52 1
10 52 1
11 52 1
11 52 1
11 51 1
11 51 1
12 51 1
12 51 1
13 50 1
13 50 1
13 49 1
13 46 1
13 46 0
13 46 0
26 55 1
26 55 1
27 55 1
29 55 1
29 54 1
29 54 1
30 54 1
30 54 1
30 53 1
30 53 1
31 52 1
31 52 1
32 52 1
32 52 1
32 51 1
32 46 1
31 45 1
28 42 1
27 42 1
26 42 1
25 43 1
25 43 1
25 44 1
25 44 1
24 44 1
22 44 1
23 43 1
23 43 1
23 42 1
23 42 1
22 42 1
22 42 1
22 41 1
22 41 1
21 41 1
17 41 1
16 42 1
16 42 1
16 43 1
16 44 1
15 44 1
14 44 1
14 44 0
14 44 0
16 45 1
16 45 1
16 46 1
16 46 1
15 46 1
15 46 1
15 46 0
15 46 0
17 46 1
17 46 1
18 46 1
18 46 1
19 45 1
19 45 1
18 44 1
18 44 1
17 44 1
17 44 1
18 43 1
18 43 1
19 43 1
21 43 1
21 43 0
21 43 0
23 41 1
23 41 1
24 41 1
24 41 1
24 40 1
24 40 1
25 40 1
28 40 1
28 39 1
28 36 1
29 35 1
29 35 1
29 34 1
29 32 1
30 31 1
30 31 1
30 30 1
30 30 1
31 29 1
33 27 1
34 27 1
34 27 1
35 26 1
35 26 1
36 26 1
36 26 1
37 27 1
37 27 1
38 27 1
39 27 1
40 26 1
40 26 1
41 26 1
41 26 1
41 25 1
41 25 1
42 25 1
42 25 1
42 24 1
42 23 1
43 22 1
43 22 1
44 22 1
46 22 1
46 21 1
46 19 1
47 19 1
49 19 1
49 20 1
49 20 1
50 20 1
51 20 1
51 19 1
51 19 1
52 19 1
53 19 1
53 20 1
53 20 1
54 20 1
54 20 1
54 21 1
54 21 1
55 22 1
55 22 1
55 23 1
55 23 1
56 24 1
56 24 1
56 25 1
56 25 1
57 26 1
57 26 1
57 27 1
57 28 1
58 28 1
59 28 1
60 29 1
60 29 1
61 29 1
69 29 1
70 30 1
70 30 1
71 30 1
71 30 1
71 31 1
71 32 1
72 33 1
72 33 1
72 34 1
72 40 1
71 41 1
71 41 1
71 42 1
71 42 1
70 42 1
70 42 1
69 43 1
69 43 1
68 43 1
67 43 1
67 44 1
67 45 1
66 46 1
66 46 1
67 47 1
67 47 1
68 47 1
69 47 1
69 48 1
69 48 1
70 48 1
71 48 1
72 49 1
72 49 1
72 50 1
72 52 1
73 53 1
73 53 1
73 54 1
73 55 1
72 56 1
72 56 1
72 57 1
72 59 1
71 59 1
71 59 1
71 60 1
71 60 1
70 60 1
69 60 1
68 61 1
68 61 1
67 61 1
67 61 1
67 62 1
67 63 1
66 63 1
66 63 1
66 64 1
66 64 1
65 64 1
60 64 1
60 63 1
60 63 1
59 63 1
58 63 1
57 62 1
56 61 1
55 61 1
48 61 1
47 62 1
47 62 1
46 62 1
44 62 1
44 63 1
44 63 1
43 63 1
40 63 1
40 64 1
40 65 1
39 66 1
39 66 1
38 66 1
37 66 1
37 67 1
37 71 1
36 72 1
36 72 1
36 73 1
36 73 1
35 73 1
35 73 1
35 74 1
35 74 1
34 74 1
32 74 1
31 75 1
31 75 1
30 75 1
29 75 1
29 76 1
29 76 1
28 76 1
25 76 1
25 76 0
25 76 0
28 74 1
28 74 1
27 74 1
24 74 1
23 75 1
23 75 1
22 75 1
21 75 1
21 75 0
21 75 0
29 73 1
29 73 1
29 73 0
29 73 0
31 73 1
31 73 1
31 73 0
31 73 0
36 65 1
36 65 1
37 64 1
37 64 1
38 64 1
38 64 1
38 64 0
38 64 0
35 64 1
35 64 1
35 63 1
35 62 1
34 61 1
34 61 1
34 60 1
34 59 1
33 58 1
33 58 1
33 57 1
33 57 1
32 56 1
31 55 1
32 54 1
32 54 1
33 54 1
33 54 1
34 55 1
37 58 1
37 59 1
37 59 1
38 60 1
38 60 1
38 61 1
38 62 1
38 62 0
38 62 0
39 59 1
39 59 1
39 58 1
39 57 1
38 56 1
37 55 1
37 54 1
37 54 1
36 54 1
36 54 1
36 53 1
36 53 1
35 53 1
35 53 1
34 52 1
34 52 1
34 51 1
34 45 1
33 44 1
30 41 1
30 40 1
30 37 1
31 36 1
31 36 1
31 35 1
31 35 1
32 34 1
32 34 1
33 34 1
33 34 1
34 33 1
34 33 1
35 33 1
36 33 1
36 32 1
36 32 1
37 32 1
51 32 1
52 31 1
53 30 1
54 30 1
54 30 1
55 29 1
55 29 1
55 28 1
